year,geography_type,geography_id,geography_name,total_storefronts,vacant_storefronts,vacancy_rate,median_rent_psf_class2_4,total_storefronts_class1,vacant_storefronts_class1,vacancy_rate_class1,total_storefronts_class2_4,vacant_storefronts_class2_4,vacancy_rate_class2_4,total_storefronts_all,vacant_storefronts_all,vacancy_rate_all,has_full_class1_vacancy,has_full_class24_vacancy
2019,census tract,1.0234.00,1.0234.00,28.0,,,3.88,,,,28.0,,,28.0,,,True,False
2019,census tract,1.0235.01,1.0235.01,26.0,,,2.46,,,,26.0,,,26.0,,,True,False
2019,census tract,1.0235.02,1.0235.02,18.0,,,1.0,,,,18.0,,,18.0,,,True,False
2019,census tract,1.0236.00,1.0236.00,30.0,,,4.41,,,,30.0,,,30.0,,,True,False
2019,census tract,1.0237.00,1.0237.00,33.0,,,4.59,,,,33.0,,,33.0,,,True,False
2019,census tract,1.0238.01,1.0238.01,15.0,,,3.5,,,,15.0,,,15.0,,,True,False
2019,census tract,1.0239.00,1.0239.00,11.0,0.0,0.0,5.0,,,,11.0,0.0,0.0,11.0,0.0,0.0,True,True
2019,census tract,1.0241.00,1.0241.00,57.0,11.0,0.19298245614035087,7.0,,,,57.0,11.0,0.19298245614035087,57.0,11.0,0.19298245614035087,True,True
2019,census tract,1.0242.00,1.0242.00,17.0,,,2.72,,,,17.0,,,17.0,,,True,False
2019,census tract,1.0243.01,1.0243.01,33.0,,,4.0,,,,33.0,,,33.0,,,True,False
2019,census tract,1.0245.00,1.0245.00,200.0,21.0,0.105,7.0,,,,200.0,21.0,0.105,200.0,21.0,0.105,True,True
2019,census tract,1.0249.00,1.0249.00,18.0,,,4.0,,,,18.0,,,18.0,,,True,False
